file_name,file_year,file_month,year,month,country,arrivals_country
tourism_2016_01.xls,2016,1,2015,1,BAHREYN,3528
tourism_2016_01.xls,2016,1,2016,1,BAHREYN,5662
tourism_2016_01.xls,2016,1,2015,1,KATAR,4504
tourism_2016_01.xls,2016,1,2016,1,KATAR,5340
tourism_2016_01.xls,2016,1,2015,1,KUVEYT,16787
tourism_2016_01.xls,2016,1,2016,1,KUVEYT,16658
tourism_2016_01.xls,2016,1,2015,1,IRAK,43099
tourism_2016_01.xls,2016,1,2016,1,IRAK,53603
tourism_2016_01.xls,2016,1,2015,1,LÜBNAN,6565
tourism_2016_01.xls,2016,1,2016,1,LÜBNAN,8424
tourism_2016_01.xls,2016,1,2015,1,ÜRDÜN,4961
tourism_2016_01.xls,2016,1,2016,1,ÜRDÜN,7332
tourism_2016_01.xls,2016,1,2015,1,S.ARABİSTAN,23650
tourism_2016_01.xls,2016,1,2016,1,S.ARABİSTAN,27567
tourism_2016_01.xls,2016,1,2015,1,K.K.T.C.,13173
tourism_2016_01.xls,2016,1,2016,1,K.K.T.C.,13043
tourism_2016_01.xls,2016,1,2015,1,İSRAİL,7086
tourism_2016_01.xls,2016,1,2016,1,İSRAİL,11891
tourism_2016_01.xls,2016,1,2015,1,YEMEN,1974
tourism_2016_01.xls,2016,1,2016,1,YEMEN,1449
tourism_2016_01.xls,2016,1,2015,1,BANGLADEŞ,961
tourism_2016_01.xls,2016,1,2016,1,BANGLADEŞ,1541
tourism_2016_01.xls,2016,1,2015,1,ÇİN HALK CUM.,10243
tourism_2016_01.xls,2016,1,2016,1,ÇİN HALK CUM.,11330
tourism_2016_01.xls,2016,1,2015,1,ENDONEZYA,4951
tourism_2016_01.xls,2016,1,2016,1,ENDONEZYA,4049
tourism_2016_01.xls,2016,1,2015,1,FİLİPİNLER,3537
tourism_2016_01.xls,2016,1,2016,1,FİLİPİNLER,3901
tourism_2016_01.xls,2016,1,2015,1,HİNDİSTAN,5021
tourism_2016_01.xls,2016,1,2016,1,HİNDİSTAN,5223
tourism_2016_01.xls,2016,1,2015,1,İRAN,79716
tourism_2016_01.xls,2016,1,2016,1,İRAN,92260
tourism_2016_01.xls,2016,1,2015,1,MALEZYA,4305
tourism_2016_01.xls,2016,1,2016,1,MALEZYA,3855
tourism_2016_01.xls,2016,1,2015,1,PAKİSTAN,2978
tourism_2016_01.xls,2016,1,2016,1,PAKİSTAN,3820
tourism_2016_01.xls,2016,1,2015,1,SİNGAPUR,1086
tourism_2016_01.xls,2016,1,2016,1,SİNGAPUR,1128
tourism_2016_01.xls,2016,1,2015,1,TAYLAND,746
tourism_2016_01.xls,2016,1,2016,1,TAYLAND,595
tourism_2016_01.xls,2016,1,2015,1,ARJANTİN,2691
tourism_2016_01.xls,2016,1,2016,1,ARJANTİN,3715
tourism_2016_01.xls,2016,1,2015,1,BREZİLYA,5250
tourism_2016_01.xls,2016,1,2016,1,BREZİLYA,2923
tourism_2016_01.xls,2016,1,2015,1,KOLOMBİYA,904
tourism_2016_01.xls,2016,1,2016,1,KOLOMBİYA,787
tourism_2016_01.xls,2016,1,2015,1,ŞİLİ,707
tourism_2016_01.xls,2016,1,2016,1,ŞİLİ,450
tourism_2016_01.xls,2016,1,2015,1,VENEZÜELLA,281
tourism_2016_01.xls,2016,1,2016,1,VENEZÜELLA,302
tourism_2016_02.xls,2016,2,2015,2,ALMANYA,152911
tourism_2016_02.xls,2016,2,2016,2,ALMANYA,138338
tourism_2016_02.xls,2016,2,2015,2,AVUSTURYA,14972
tourism_2016_02.xls,2016,2,2016,2,AVUSTURYA,13364
tourism_2016_02.xls,2016,2,2015,2,BELÇİKA,14897
tourism_2016_02.xls,2016,2,2016,2,BELÇİKA,13082
tourism_2016_02.xls,2016,2,2015,2,DANİMARKA,12054
tourism_2016_02.xls,2016,2,2016,2,DANİMARKA,11585
tourism_2016_02.xls,2016,2,2015,2,FİNLANDİYA,6418
tourism_2016_02.xls,2016,2,2016,2,FİNLANDİYA,3612
tourism_2016_02.xls,2016,2,2015,2,FRANSA,35272
tourism_2016_02.xls,2016,2,2016,2,FRANSA,32638
tourism_2016_02.xls,2016,2,2015,2,HOLLANDA,32476
tourism_2016_02.xls,2016,2,2016,2,HOLLANDA,32827
tourism_2016_02.xls,2016,2,2015,2,İNGİLTERE,44651
tourism_2016_02.xls,2016,2,2016,2,İNGİLTERE,37196
tourism_2016_02.xls,2016,2,2015,2,İRLANDA,3080
tourism_2016_02.xls,2016,2,2016,2,İRLANDA,2119
tourism_2016_02.xls,2016,2,2015,2,İSPANYA,12089
tourism_2016_02.xls,2016,2,2016,2,İSPANYA,7621
tourism_2016_02.xls,2016,2,2015,2,İSVEÇ,17724
tourism_2016_02.xls,2016,2,2016,2,İSVEÇ,10704
tourism_2016_02.xls,2016,2,2015,2,İSVİÇRE,12009
