freq,statinfo,unit,currency,year,month,exchange_rate
M,AVG,NAC,AUD,2020,2,1.6356
M,AVG,NAC,AUD,2020,3,1.7788
M,AVG,NAC,AUD,2020,4,1.7271
M,AVG,NAC,AUD,2020,5,1.6724
M,AVG,NAC,AUD,2020,6,1.6322
M,AVG,NAC,AUD,2020,7,1.6304
M,AVG,NAC,AUD,2020,8,1.6433
M,AVG,NAC,AUD,2020,9,1.6307
M,AVG,NAC,AUD,2020,10,1.6521
M,AVG,NAC,AUD,2020,11,1.6266
M,AVG,NAC,AUD,2020,12,1.6166
M,AVG,NAC,AUD,2021,1,1.5764
M,AVG,NAC,AUD,2021,2,1.5605
M,AVG,NAC,AUD,2021,3,1.5444
M,AVG,NAC,AUD,2021,4,1.5544
M,AVG,NAC,AUD,2021,5,1.5653
M,AVG,NAC,AUD,2021,6,1.5761
M,AVG,NAC,AUD,2021,7,1.5926
M,AVG,NAC,AUD,2021,8,1.6118
M,AVG,NAC,AUD,2021,9,1.6087
M,AVG,NAC,AUD,2021,10,1.5669
M,AVG,NAC,AUD,2021,11,1.5615
M,AVG,NAC,AUD,2021,12,1.5781
M,AVG,NAC,AUD,2022,1,1.577
M,AVG,NAC,AUD,2022,2,1.5825
M,AVG,NAC,AUD,2022,3,1.4946
M,AVG,NAC,AUD,2022,4,1.4663
M,AVG,NAC,AUD,2022,5,1.4995
M,AVG,NAC,AUD,2022,6,1.5044
M,AVG,NAC,AUD,2022,7,1.4856
M,AVG,NAC,AUD,2022,8,1.455
M,AVG,NAC,AUD,2022,9,1.482
M,AVG,NAC,AUD,2022,10,1.5474
M,AVG,NAC,AUD,2022,11,1.5455
M,AVG,NAC,AUD,2022,12,1.5685
M,AVG,NAC,AUD,2023,1,1.5523
M,AVG,NAC,AUD,2023,2,1.5514
M,AVG,NAC,AUD,2023,3,1.6034
M,AVG,NAC,AUD,2023,4,1.6389
M,AVG,NAC,AUD,2023,5,1.6346
M,AVG,NAC,AUD,2023,6,1.6157
M,AVG,NAC,AUD,2023,7,1.6423
M,AVG,NAC,AUD,2023,8,1.6818
M,AVG,NAC,AUD,2023,9,1.6622
M,AVG,NAC,AUD,2023,10,1.6637
M,AVG,NAC,AUD,2023,11,1.6634
M,AVG,NAC,AUD,2023,12,1.6321
M,AVG,NAC,AUD,2024,1,1.6422
M,AVG,NAC,AUD,2024,2,1.6533
M,AVG,NAC,AUD,2024,3,1.6586
M,AVG,NAC,AUD,2024,4,1.6469
M,AVG,NAC,AUD,2024,5,1.6317
M,AVG,NAC,AUD,2024,6,1.6206
M,AVG,NAC,AUD,2024,7,1.6257
M,AVG,NAC,AUD,2024,8,1.6559
M,AVG,NAC,AUD,2024,9,1.6398
M,AVG,NAC,AUD,2024,10,1.625
M,AVG,NAC,AUD,2024,11,1.6267
M,AVG,NAC,AUD,2024,12,1.6529
M,AVG,NAC,AUD,2025,1,1.6626
M,AVG,NAC,AUD,2025,2,1.6528
M,AVG,NAC,AUD,2025,3,1.7158
M,AVG,NAC,AUD,2025,4,1.7844
M,AVG,NAC,AUD,2025,5,1.7521
M,AVG,NAC,AUD,2025,6,1.7723
M,AVG,NAC,AUD,2025,7,1.7862
M,AVG,NAC,AUD,2025,8,1.792
M,AVG,NAC,AUD,2025,9,1.7795
M,AVG,NAC,AUD,2025,10,1.7781
M,AVG,NAC,AUD,2025,11,1.7772
M,AVG,NAC,AUD,2025,12,1.7634
M,AVG,NAC,BAM,2015,1,1.95583
M,AVG,NAC,BAM,2015,2,1.95583
M,AVG,NAC,BAM,2015,3,1.95583
M,AVG,NAC,BAM,2015,4,1.95583
M,AVG,NAC,BAM,2015,5,1.95583
M,AVG,NAC,BAM,2015,6,1.95583
M,AVG,NAC,BAM,2015,7,1.95583
M,AVG,NAC,BAM,2015,8,1.95583
M,AVG,NAC,BAM,2015,9,1.95583
M,AVG,NAC,BAM,2015,10,1.95583
M,AVG,NAC,BAM,2015,11,1.95583
M,AVG,NAC,BAM,2015,12,1.95583
M,AVG,NAC,BAM,2016,1,1.95583
M,AVG,NAC,BAM,2016,2,1.95583
M,AVG,NAC,BAM,2016,3,1.95583
M,AVG,NAC,BAM,2016,4,1.95583
M,AVG,NAC,BAM,2016,5,1.95583
M,AVG,NAC,BAM,2016,6,1.95583
M,AVG,NAC,BAM,2016,7,1.95583
M,AVG,NAC,BAM,2016,8,1.95583
M,AVG,NAC,BAM,2016,9,1.95583
M,AVG,NAC,BAM,2016,10,1.95583
M,AVG,NAC,BAM,2016,11,1.95583
M,AVG,NAC,BAM,2016,12,1.95583
M,AVG,NAC,BAM,2017,1,1.95583
M,AVG,NAC,BAM,2017,2,1.95583
M,AVG,NAC,BAM,2017,3,1.95583
M,AVG,NAC,BAM,2017,4,1.95583
M,AVG,NAC,BAM,2017,5,1.95583
M,AVG,NAC,BAM,2017,6,1.95583
M,AVG,NAC,BAM,2017,7,1.95583
M,AVG,NAC,BAM,2017,8,1.95583
M,AVG,NAC,BAM,2017,9,1.95583
M,AVG,NAC,BAM,2017,10,1.95583
M,AVG,NAC,BAM,2017,11,1.95583
M,AVG,NAC,BAM,2017,12,1.95583
M,AVG,NAC,BAM,2018,1,1.95583
M,AVG,NAC,BAM,2018,2,1.95583
M,AVG,NAC,BAM,2018,3,1.95583
M,AVG,NAC,BAM,2018,4,1.95583
M,AVG,NAC,BAM,2018,5,1.95583
M,AVG,NAC,BAM,2018,6,1.95583
M,AVG,NAC,BAM,2018,7,1.95583
M,AVG,NAC,BAM,2018,8,1.95583
M,AVG,NAC,BAM,2018,9,1.95583
M,AVG,NAC,BAM,2018,10,1.95583
M,AVG,NAC,BAM,2018,11,1.95583
M,AVG,NAC,BAM,2018,12,1.95583
M,AVG,NAC,BAM,2019,1,1.95583
M,AVG,NAC,BAM,2019,2,1.95583
M,AVG,NAC,BAM,2019,3,1.95583
M,AVG,NAC,BAM,2019,4,1.95583
M,AVG,NAC,BAM,2019,5,1.95583
M,AVG,NAC,BAM,2019,6,1.95583
M,AVG,NAC,BAM,2019,7,1.95583
M,AVG,NAC,BAM,2019,8,1.95583
M,AVG,NAC,BAM,2019,9,1.95583
M,AVG,NAC,BAM,2019,10,1.95583
M,AVG,NAC,BAM,2019,11,1.95583
M,AVG,NAC,BAM,2019,12,1.95583
M,AVG,NAC,BAM,2020,1,1.95583
M,AVG,NAC,BAM,2020,2,1.95583
M,AVG,NAC,BAM,2020,3,1.95583
M,AVG,NAC,BAM,2020,4,1.95583
M,AVG,NAC,BAM,2020,5,1.95583
M,AVG,NAC,BAM,2020,6,1.95583
