year,month,country_std,arrivals_country,source_temp,turkey_temp,temp_diff
2018,3,Georgia,168005,9.041935483870969,10.22258064516129,-1.1806451612903217
2018,3,Germany,220198,1.3225806451612903,10.22258064516129,-8.9
2018,3,Iran,387825,16.096774193548388,10.22258064516129,5.8741935483870975
2018,3,Netherlands,28307,4.296774193548388,10.22258064516129,-5.925806451612902
2018,3,Poland,10735,0.4838709677419355,10.22258064516129,-9.738709677419354
2018,3,Romania,27043,2.864516129032258,10.22258064516129,-7.358064516129033
2018,4,Bulgaria,202026,14.116666666666667,14.09,0.026666666666667282
2018,4,France,62003,12.556666666666667,14.09,-1.5333333333333332
2018,4,Georgia,175776,12.51,14.09,-1.58
2018,4,Germany,254863,12.686666666666667,14.09,-1.4033333333333324
2018,4,Iran,119771,16.223333333333333,14.09,2.133333333333333
2018,4,Netherlands,101714,11.393333333333334,14.09,-2.6966666666666654
2018,4,Poland,30693,13.456666666666667,14.09,-0.6333333333333329
2018,4,Romania,39140,15.366666666666667,14.09,1.2766666666666673
2018,5,Bulgaria,197324,17.135483870967743,18.125806451612902,-0.9903225806451594
2018,5,France,51284,15.516129032258064,18.125806451612902,-2.6096774193548384
2018,5,Georgia,203232,19.351612903225806,18.125806451612902,1.225806451612904
2018,5,Germany,436887,17.641935483870967,18.125806451612902,-0.48387096774193594
2018,5,Iran,122086,21.138709677419353,18.125806451612902,3.0129032258064505
2018,5,Netherlands,107952,15.67741935483871,18.125806451612902,-2.4483870967741925
2018,5,Poland,72961,18.212903225806453,18.125806451612902,0.08709677419355089
2018,5,Romania,45882,19.251612903225805,18.125806451612902,1.1258064516129025
2018,6,Bulgaria,210989,19.336666666666666,22.14333333333333,-2.806666666666665
2018,6,France,53909,18.646666666666665,22.14333333333333,-3.496666666666666
2018,6,Georgia,194566,22.826666666666664,22.14333333333333,0.6833333333333336
2018,6,Germany,451699,19.23,22.14333333333333,-2.9133333333333304
2018,6,Iran,162008,29.273333333333333,22.14333333333333,7.130000000000003
2018,6,Netherlands,81272,16.63,22.14333333333333,-5.513333333333332
2018,6,Poland,105539,19.35,22.14333333333333,-2.7933333333333294
2018,6,Romania,103793,22.490000000000002,22.14333333333333,0.3466666666666711
2018,7,Bulgaria,181878,20.33225806451613,24.654838709677417,-4.322580645161288
2018,7,France,162767,22.896774193548385,24.654838709677417,-1.758064516129032
2018,7,Georgia,190309,26.958064516129035,24.654838709677417,2.303225806451618
2018,7,Germany,761278,21.20967741935484,24.654838709677417,-3.4451612903225772
2018,7,Iran,175069,34.248387096774195,24.654838709677417,9.593548387096778
2018,7,Netherlands,218685,20.112903225806452,24.654838709677417,-4.541935483870965
2018,7,Poland,115336,20.874193548387098,24.654838709677417,-3.7806451612903196
2018,7,Romania,94192,22.24516129032258,24.654838709677417,-2.4096774193548356
2018,8,Bulgaria,235364,21.661290322580644,25.480645161290322,-3.8193548387096783
2018,8,France,119702,20.68064516129032,25.480645161290322,-4.800000000000001
2018,8,Georgia,204092,23.94516129032258,25.480645161290322,-1.5354838709677416
2018,8,Germany,654737,21.961290322580645,25.480645161290322,-3.5193548387096776
2018,8,Iran,190607,32.225806451612904,25.480645161290322,6.7451612903225815
2018,8,Netherlands,156388,18.30322580645161,25.480645161290322,-7.177419354838712
2018,8,Poland,118890,21.138709677419353,25.480645161290322,-4.341935483870969
2018,8,Romania,110073,24.393548387096775,25.480645161290322,-1.0870967741935473
2018,9,Bulgaria,308066,17.336666666666666,20.959999999999997,-3.6233333333333313
2018,9,France,53257,16.98,20.959999999999997,-3.979999999999997
2018,9,Georgia,195850,21.333333333333332,20.959999999999997,0.37333333333333485
2018,9,Germany,589754,16.743333333333332,20.959999999999997,-4.216666666666665
2018,9,Iran,170687,27.363333333333333,20.959999999999997,6.403333333333336
2018,9,Netherlands,100876,15.046666666666665,20.959999999999997,-5.913333333333332
2018,9,Poland,103953,16.153333333333332,20.959999999999997,-4.806666666666665
2018,9,Romania,79012,19.33,20.959999999999997,-1.629999999999999
2018,10,Bulgaria,254997,12.825806451612904,16.76774193548387,-3.9419354838709655
2018,10,France,67114,13.435483870967742,16.76774193548387,-3.332258064516127
2018,10,Georgia,153201,16.00967741935484,16.76774193548387,-0.7580645161290285
2018,10,Germany,589626,11.374193548387098,16.76774193548387,-5.3935483870967715
2018,10,Iran,110427,19.08709677419355,16.76774193548387,2.319354838709682
2018,10,Netherlands,103477,12.458064516129031,16.76774193548387,-4.309677419354838
2018,10,Poland,45443,10.474193548387097,16.76774193548387,-6.293548387096772
2018,10,Romania,43625,14.019354838709678,16.76774193548387,-2.7483870967741915
